streamDictionary.streamName,streamDictionary.streamSrc,latitude,longitude
I-40 & Eaker Gate E,https://stream.oktraffic.org/delay-stream/06cf42c7f8aba779.stream/playlist.m3u8,35.43455,-97.39814
I-40 & Eaker Gate N,https://stream.oktraffic.org/delay-stream/6c455e37e04de9c9.stream/playlist.m3u8,35.43455,-97.39814
I-40 & Eaker Gate W,https://stream.oktraffic.org/delay-stream/9042d0d2f912ecf8.stream/playlist.m3u8,35.43455,-97.39814
I-40 & Eaker Gate S,https://stream.oktraffic.org/delay-stream/67cd3065807a0fe6.stream/playlist.m3u8,35.43455,-97.39814
I-40 & Eaker Gate,https://stream.oktraffic.org/delay-stream/6fa1234e703e5d12.stream/playlist.m3u8,35.43455,-97.39814
I-40 & A Ave E,https://stream.oktraffic.org/delay-stream/458c7dc61347e682.stream/playlist.m3u8,35.4352,-97.38692
I-40 & A Ave W,https://stream.oktraffic.org/delay-stream/0691cdd8fb2f6f7a.stream/playlist.m3u8,35.4352,-97.38692
I-40 & Douglas N,https://stream.oktraffic.org/delay-stream/c6ab63bd285ee231.stream/playlist.m3u8,35.4312,-97.37056
I-40 & Douglas E,https://stream.oktraffic.org/delay-stream/fa84e493cc5ee7f7.stream/playlist.m3u8,35.4312,-97.37056
I-40 & Douglas W,https://stream.oktraffic.org/delay-stream/b95d9543d88a6884.stream/playlist.m3u8,35.4312,-97.37056
I-40 & Douglas,https://stream.oktraffic.org/delay-stream/fe9c40f34961faa5.stream/playlist.m3u8,35.4312,-97.37056
OKC Blvd & Lee E,https://stream.oktraffic.org/delay-stream/db64e118a412e041.stream/playlist.m3u8,35.462514,-97.523919
OKC Blvd & Lee NW,https://stream.oktraffic.org/delay-stream/60c47a2aa68a4890.stream/playlist.m3u8,35.462514,-97.523919
OKC Blvd & Lee,https://stream.oktraffic.org/delay-stream/f53600bfba588637.stream/playlist.m3u8,35.462514,-97.523919
I-35 & Reno E,https://stream.oktraffic.org/delay-stream/f4e478e10db95db1.stream/playlist.m3u8,35.464069,-97.473067
I-35 & Reno SW,https://stream.oktraffic.org/delay-stream/b0cb840459449f84.stream/playlist.m3u8,35.464069,-97.473067
I-35 & Reno,https://stream.oktraffic.org/delay-stream/fd9df1df1535b3b0.stream/playlist.m3u8,35.464069,-97.473067
I-44 & W I-244 E,https://stream.oktraffic.org/delay-stream/befe4da0a7313902.stream/playlist.m3u8,36.08797,-96.04051
I-44 & W I-244,https://stream.oktraffic.org/delay-stream/1a5dde66b587817c.stream/playlist.m3u8,36.08797,-96.04051
I-244 & SW Blvd N,https://stream.oktraffic.org/delay-stream/3b086e3c742320d9.stream/playlist.m3u8,36.12221084,-96.00868937
I-244 & SW Blvd S,https://stream.oktraffic.org/delay-stream/7e7af94a064a2d63.stream/playlist.m3u8,36.12221084,-96.00868937
I-244 & US-169 E,https://stream.oktraffic.org/delay-stream/07e691956d3b79cf.stream/playlist.m3u8,36.16498,-95.85945
I-44 & E I-244 SW,https://stream.oktraffic.org/hls/1f975a2eb1ffaa38.stream/playlist.m3u8,36.161382,-95.826574
I-44 & E I-244 NW,https://stream.oktraffic.org/hls/ceccc91d7b5dfd75.stream/playlist.m3u8,36.161382,-95.826574
I-44 & E I-244,https://stream.oktraffic.org/delay-stream/27bd0c996fa37563.stream/playlist.m3u8,36.161382,-95.826574
SH-51 & US-64/75 N,https://stream.oktraffic.org/hls/5692b044635b0595.stream/playlist.m3u8,36.14181,-95.97939
SH-51 & US-64/75 E,https://stream.oktraffic.org/hls/7db257a94a7d6dcf.stream/playlist.m3u8,36.14181,-95.97939
SH-51 & US-64/75 W,https://stream.oktraffic.org/hls/dbac00dcf5a79a8a.stream/playlist.m3u8,36.14181,-95.97939
SH-51 & US-64/75,https://stream.oktraffic.org/delay-stream/a0c7346c2aa2fdab.stream/playlist.m3u8,36.14181,-95.97939
